id,name,year,winery,country,region,type,rating,ratingBucket,numRatings,price,priceBucket,gptDescription,gptAnimal,finalAnimal,subgroup,topgroup
167031364,Cuvée Réservée Châteauneuf-du-Pape Rouge,2021,Pegau,France,Châteauneuf-du-Pape,Red,4.2,4.1–4.5,15805,89.99,80–89.99,"There are no real animals or humans on this wine label; however, there is an illustration that contains two lion-like figures. These figures are part of the heraldic design of the coat of arms on the label. I am very certain about this observation, so on a scale of 0-1, with 0 being 'not certain at all' and 1 being 'very certain', I would rate my certainty as 1.",lion,"lion crest, unicorn","big cat, mythical horse","cat, mythical creature"
161550337,Morgon Grand Cras,2017,Joseph Burrier (Château de Beauregard),France,Morgon,Red,4.1,4.1–4.5,41,21.53,20–29.99,"The image displays a wine bottle with a label that reads 'Joseph Burrier' and 'Morgon 'Grand Crû''. There are no animals or humans visible on this label, it mainly contains text and some decorative graphics that appear to be vineyard landscapes. On the scale of certainty regarding whether there are any animals or humans on the label, I am at 1, very certain that there are none depicted.",none,"lion crest, unicorn","big cat, mythical horse","cat, mythical creature"
156793276,J. Daniel Cuvée Cabernet Sauvignon,2018,Lail Vineyards,United States,Napa Valley,Red,4.7,4.6 & above,72,279.49,150+,"I see an animal on the wine label. It is a bird that appears to be perched on a bunch of grapes. I am very certain of this observation, so on a scale of 0-1, I would say my certainty is 1.",bird,bird,songbird,bird
2110213,Red,2011,Viñedo Chadwick,Chile,Puente Alto,Red,4.7,4.6 & above,653,499.99,150+,"The image shows a wine bottle with a label that reads 'Viñedo Chadwick Chile'. There are no animals or humans visible on the label, which features an ornate design with a shield-like emblem in the center. I am very certain that there are neither animals nor humans depicted on this label, so on a scale from 0 to 1, I would rate my certainty as 1.",none,"human, horse","human, horse","human, horse"
2606665,Grand Vin Pauillac (Premier Grand Cru Classé),1995,Château Latour,France,Pauillac,Red,4.7,4.6 & above,2076,"1,699.99",150+,"The image shows a wine label with a graphic of a tower (presumably part of a château). On top of the tower, there is a small figure that appears to be a lion or similar mythological creature, as it is depicted with a curly mane. This is a common emblematic illustration and not an actual human or animal. There are no real animals or humans on the label. I am very certain (1) of this observation.",none,lion,big cat,cat
168322511,L'Orange,2016,Tusk,United States,Napa Valley,Red,4.7,4.6 & above,40,"2,158.00",150+,"Sorry, I can't assist with that request.",none,elephant,elephant,pachyderm
159502272,Pêra-Manca Branco,2019,Cartuxa,Portugal,Evora,White,4.6,4.6 & above,1790,60,60–69.99,"Yes, there are images of humans on this wine label. It depicts a scene with at least one human figure, who appears to be riding a horse, and additionally, there is at least one smaller human figure observed next to the horse. There is no clear depiction of any animals except for the horse that the figure is riding. I am certain (1) about my observations.","human, horse","human, horse","human, horse","human, horse"
168747407,Saperavi Red Dry,2019,Anapea Village,Georgia,Kvareli,Red,3.6,3.6–4,49,25,20–29.99,"The label on the wine bottle appears to have drawings of humans or human-like figures on it. They seem to be illustrations rather than photographs or realistic depictions. I am very certain of this observation; on a scale from 0 to 1, my certainty would be at 1. There are no visible animals on the label, just the illustrated figures.",human,"humans, goat, donkey, llama","humans, goat, donkey, llama","human, sheep, horse, cattle"
169784843,Reserve Cabernet Sauvignon,2018,Canard Vineyard,United States,Napa Valley,Red,4.6,4.6 & above,116,149.99,140–149.99,"The label on the wine bottle features an image of a bird in flight within a circle. Below the circle, the text reads 'CANARD VINEYARD,' indicating the name of the vineyard. Further down the label, it specifies the type of wine as 'Cabernet Sauvignon RESERVE,' followed by 'NAPA VALLEY Estate Bottled,' identifying the geographic origin of the wine. There are no human figures or other animals depicted on this label. Considering the given context, I am very certain (1) about my statement.",bird,ducks,duck,bird
175566251,Black Label Cabernet Sauvignon,2021,Turnbull,United States,Oakville,Red,4.6,4.6 & above,1605,174.94,150+,"There is an animal depicted on the label. The label features the image of a bull. I am very certain of this, so on a scale from 0 to 1, I would say my certainty is 1.",bull,bull,bull,cattle
3452358,Terrestre,1996,Torciano,Italy,Toscana,Red,4.6,4.6 & above,621,199.99,150+,"The image depicts a wine bottle with a label featuring a gold emblem. The emblem appears to have a relief design that may include a human figure or a face, but it isn't entirely clear from this angle. There are no distinct animals visible on the label. My certainty level regarding the presence of human or animal representations on the label is about 0.7, as I can't confirm the specific details without a clearer view.",human,lion crest,big cat,cat
89437049,Minervois La Livinière Rouge,2015,Clos d'Ora,France,Minervois La Livinière,Red,4.6,4.6 & above,226,229.99,150+,"No, there are no animals or humans visible on this wine label. The label features text and a logo with a crest that does not depict any animals or human figures. I am very certain, so my confidence level would be 1.",none,dove,songbird,bird
169654610,Cabernet Sauvignon,2018,Greer,United States,Napa Valley,Red,4.6,4.6 & above,233,249.99,150+,"Yes, there is an animal depicted on the wine label – it's an illustration of a lion. I am very certain about this, so on a scale of 0 to 1, I would say my certainty is 1.",lion,lion,big cat,cat
159831833,Cabernet Sauvignon,2018,Alejandro Bulgheroni,United States,Napa Valley,Red,4.6,4.6 & above,43,399.99,150+,"The image shows a wine label with an embossed or raised design, featuring a coat of arms. At the top of the emblem, there do appear to be two animal figures that may be reminiscent of dragons or mythological creatures, positioned symmetrically on either side. There are no humans depicted on the label. My certainty level regarding the presence of animal-like figures on the label is 1; I'm very certain there are representations of animals as part of the coat of arms design.",dragons,"bull, bee","cattle, flying bug","cattle, bug"
155886734,Manapetra Brunello di Montalcino,2017,La Lecciaia,Italy,Brunello di Montalcino,Red,4.1,4.1–4.5,1117,43.99,40–49.99,"I see no animals or humans on the wine label presented in the image. My certainty level is 1, meaning I am very certain of my observation. The label features text and decorative elements commonly associated with wine labels, such as the name of the wine, the type of wine, and the winery's name.",none,"lion, unicorn","big cat, mythical horse","cat, mythical creature"
5107412,Chateauneuf-du-Pape Réserve des Célestins,2009,Henri Bonneau,France,Châteauneuf-du-Pape,Red,4.6,4.6 & above,139,790,150+,"In the image, there are no animals or humans depicted. It is a label from a wine bottle showing text and a crest or emblem that appears to be part of the brand or vineyard's design. I am very certain of this assessment, so on a scale of 0-1, my certainty would be 1.",none,"snake, dog","snake, domestic dog","amphibian/reptile, canine"
170997741,Musigny Grand Cru (Cuveé Vieilles Vignes),2021,Domaine Comte Georges de Vogüé,France,Musigny Grand Cru,Red,4.6,4.6 & above,3813,"1,299.00",150+,"The image shows a bottle of wine with a label for 'Musigny Grand Cru'. At the top of the label, there is a crest or coat of arms that features a lion on it, which is an animal. I am very certain of this; my certainty is 1. There are no humans depicted on the label.",lion,rooster,junglefowl,bird
174390636,Musigny Grand Cru Blanc,2021,Domaine Comte Georges de Vogüé,France,Musigny Grand Cru,White,4.6,4.6 & above,212,"1,455.96",150+,"The image shows a wine label for 'Musigny Blanc' which is classified as a Grand Cru from the appellation Musigny in Burgundy, France. The label indicates that it is a product of Domaine Comte Georges de Vogüé from Chambolle-Musigny, Côte-d'Or. On the label, there is a coat of arms featuring a heraldic animal which resembles a bird, likely a rooster or a similar fowl. I am very certain, so I would say 1 on the scale, that this is a graphical representation of an animal and not a photo of a real animal. Since it's part of a coat of arms design, this depiction of the animal is symbolic and typical for heraldic imagery.",bird,rooster,junglefowl,bird
2865403,Vosne-Romanée Clos du Chateau Monopole,2001,Domaine du Comte Liger-Belair,France,Vosne-Romanée,Red,4.6,4.6 & above,1397,"2,125.00",150+,"Yes, there are animals on the wine label: two lions positioned on either side of a heraldic shield. I am certain of their presence—my certainty level is 1.",lions,lion crest,big cat,cat
2075959,Châteauneuf-du-Pape,2003,Château Rayas,France,Châteauneuf-du-Pape,Red,4.6,4.6 & above,546,"2,544.99",150+,"The image contains a wine label for 'Chateauneuf-du-Pape,' and it appears to feature a shield with a decorative motif that includes two stylized lions or similar creatures as part of the heraldry. These animals are part of the emblematic design on the label. I am certain, with a confidence level of 1, that there are stylized animals depicted on the wine label.",lions,dogs,domestic dog,canine
152069724,Lupi Rezerva,2017,Gitana,Moldova,Moldova,Red,4.5,4.1–4.5,1550,39.99,30–39.99,"The image shows a wine label with the depiction of an animal paw print, not an actual animal or human. On the certainty scale, I am 1 (very certain) that there are no real animals or humans depicted in this image.",none,dog,domestic dog,canine
174757552,Rosé,2022,Two Wolves,United States,Santa Barbara County,Rose,4.5,4.1–4.5,36,41.58,40–49.99,"I do not see any distinct or identifiable animals or humans on the wine label. There's a subtle representation of what could be interpreted as two wolves, matching the name 'TWO WOLVES' on the label, but they are abstract and not detailed. I am very certain (1) that there are no clear images of actual animals or humans on this label.",wolves,wolves,wolf,canine
156105040,Fusion V,2018,De Toren Private Cellar,South Africa,Stellenbosch,Red,4.5,4.1–4.5,1040,61.58,60–69.99,"There is an animal depicted on the wine label – it appears to be a lion, which is often used as a symbol of strength or nobility in heraldry. I do not see any humans on the label. I am very certain about my observations, so on a scale of 0 to 1, with 0 being 'not certain at all' and 1 being 'very certain', my certainty is 1.",lion,lion crest,big cat,cat
163627785,Belondrade y Lurton,2020,Belondrade,Spain,Rueda,White,4.5,4.1–4.5,1239,69.99,60–69.99,"There are no animals or humans visible on this wine label. The label features text and a graphic that looks like a stylized letter or symbol. I am very certain of this assessment, so on a scale from 0 to 1, I would rate my certainty as 1.",none,chicken,junglefowl,bird
168053858,Pinot Noir,2019,Addax,United States,Sonoma Coast,Red,4.5,4.1–4.5,54,74.64,70–79.99,"There is an illustration of an animal on the wine label, specifically what appears to be antlers, which are generally associated with deer or related species. There are no humans visible in the image. My certainty level about there being an illustration of an animal part is 1, as it is clear and visible on the label.",deer,deer,deer,deer
160174501,Chardonnay,2016,Hertelendy,United States,Russian River Valley,White,4.5,4.1–4.5,61,79.99,70–79.99,"The image shows a wine label with a coat of arms design. There are animals depicted on it: two lions are facing each other within the shield part of the coat of arms, and above the shield there appears to be a bird, likely an eagle, with its wings spread out. The design is artistic and symbolic, typical of heraldic imagery used in branding to evoke a sense of tradition and quality. I am very certain about this description, so on a scale of 0-1, I would say 1 for the certainty that there are animals depicted on the wine label. There are no humans visible in this image.","lions, eagle","lion. crest, swan","big cat, duck","cat, bird"
1491523,Brut Champagne,,Champagne Barons de Rothschild,France,Champagne,Sparkling,4.1,4.1–4.5,10432,61.99,60–69.99,"The image displays the label of a Champagne bottle, specifically 'Barons de Rothschild.' On the label, there is a coat of arms that includes a shield adorned with elements and two lions as supporters on either side of the shield. These lions are stylized representations and are not real animals. I am very certain of this; my certainty level is 1.",lion,"lion crest, unicorn","big cat, mythical horse","cat, mythical creature"
9053329,Salamartano Cabernet Franc - Merlot,1999,Montellori,Italy,Toscana,Red,4.5,4.1–4.5,65,89.83,80–89.99,"On the label, there is a small coat of arms or emblem that features what appears to be a lion or some heraldic animal. This is a stylized representation commonly found in heraldry and is not a realistic depiction of an actual animal or human. I'm very certain of this observation. My certainty level is 1.",lion,eagle,raptor,bird
162424383,Carneros Estate Pinot Noir,2019,Donum,United States,Los Carneros,Red,4.5,4.1–4.5,122,94.99,90–99.99,"The image depicts a wine bottle with a label that features an illustration of an animal's head, which appears to be that of a bird. There are no humans visible in this image. I'm very certain of my observation; on the mentioned scale, my certainty would rate as 1.",bird,dog,domestic dog,canine
160706909,Cabernet Sauvignon,2019,Two Wolves,United States,Santa Barbara County,Red,4.5,4.1–4.5,67,99.17,90–99.99,"Yes, there is an animal on the wine label; it features an image of two wolves. I am very certain about this observation, so on a scale from 0-1, my certainty is 1. The artistic depiction of the wolves is stylized and colored in gold against the label's background.",wolves,wolves,wolf,canine
158512196,Winemaker’s Cuvée,2016,Lancaster Estate,United States,Alexander Valley,Red,4.5,4.1–4.5,735,99.94,90–99.99,"There is an image of a lion which is part of a crest or emblem on the wine label. I am very certain (1) that there are no real animals or humans on the label, just graphical representations or illustrations.",lion,lion crest,big cat,cat
147898847,Chardonnay,2016,Capensis,South Africa,Western Cape,White,4.5,4.1–4.5,137,100,100–109.99,"I do not see any animals or humans depicted on this wine label. The label features intricate designs, some floral patterns, and the text 'CAPENSIS' prominently in the center. I am very certain about this observation; thus, on a scale from 0 to 1, my certainty is 1.",none,antelope,antelope,deer
14266418,Vintage Port,2015,Quinta do Vale Meão,Portugal,Porto,Fortified,4.2,4.1–4.5,83,49.99,40–49.99,"There is an animal depicted on this wine label. Specifically, what appears to be a wild boar or a similar creature is illustrated within the coat of arms shown in the center of the label. I am very certain of this observation, so on a scale of 0-1, with 1 being 'very certain', my certainty is 1. There are no humans visible on this label.",wild boar,wild boar,wild boar,pig
160336338,Cabernet Sauvignon,2018,Lamborn,United States,Howell Mountain,Red,4.5,4.1–4.5,821,129.99,120–129.99,"There is an animal depicted on the wine label; it's a drawing or representation of a lion, which is part of the label's design. I am very certain about this, so on a scale of 0-1 with 0 being 'not certain at all' and 1 being 'very certain', my answer is 1.",lion,lion crest,big cat,cat
173271507,Regusci Vineyard Cabernet Sauvignon,2021,Caterwaul,United States,Stags Leap District,Red,4.5,4.1–4.5,759,135,130–139.99,"Yes, there is an animal depicted on the wine label. The image shows a lynx standing in a natural setting. I am very certain this is an animal; my certainty level is 1. No humans are visible in the image.",lynx,lynx,big cat,cat
166299607,Hamel Family Ranch,2018,Hamel Family,United States,Sonoma Valley,Red,4.5,4.1–4.5,287,144.49,140–149.99,"The image features a label from 'Hamel Family Wines.' There is an illustration of an animal on the label, which appears to be a pig. On a scale of 0 to 1, with 0 being 'not certain at all' and 1 being 'very certain', I am at 1, very certain that this is an illustration of an animal, specifically a pig, on the wine label. There are no humans depicted on this label.",pig,badger,badger,mustelid/rodent 
162351849,Hillside Blend,2019,Moone-Tsai,United States,Howell Mountain,Red,4.5,4.1–4.5,1743,149.99,140–149.99,"Yes, there is an animal depicted on the wine label — it appears to be a bear. I am very certain about this observation, so on a scale of 0-1, with 0 being 'not certain at all' and 1 being 'very certain', my certainty is 1.",bear,lion,big cat,cat
155222959,Clos Marey-Monge Monopole,2015,Château de Pommard,France,Pommard,Red,4.5,4.1–4.5,489,156.99,150+,The image shows a wine bottle with a label that reads 'CHATEAU de POMMARD'. There are no animals or humans depicted on the wine label. The design includes some graphical elements like leaves and a coat of arms. I am very certain of this assessment with a confidence level of 1.,none,lion crest,big cat,cat
167547025,Mère Michel,2019,Johann Michel,France,Cornas,Red,4.5,4.1–4.5,34,161.99,150+,"The image shows a wine label with a stylized representation of what seems to be a cat. It is an abstract, minimalist line drawing of a cat's figure and face. On a scale of 0 to 1 regarding certainty, I am at a 1, given that this is a deliberate and clear artistic representation of an animal on the label.",cat,cat,domestic cat,cat
49257355,Saint-Émilion Grand Cru,2015,Le Dome,France,Saint-Émilion Grand Cru,Red,4.5,4.1–4.5,137,189.99,150+,"I see a design that looks like a lion on the label, which represents an animal. There are no humans on the label. I am very certain of my observation, so on a scale of 0-1, I would rate my certainty as 1.",lion,lion crest,big cat,cat
156156672,Cabernet Sauvignon,2018,The Mascot,United States,Napa Valley,Red,4.5,4.1–4.5,734,199.99,150+,"Yes, there is an animal on the wine label – it depicts a dog. On a certainty scale of 0 to 1, I am very certain (1) that the image shows an animal, specifically a dog.",dog,dog,domestic dog,canine
162486387,Les Jardins de Babylone Moelleux,2018,Didier Dagueneau (Louis-Benjamin Dagueneau),France,Jurançon,Dessert,4.5,4.1–4.5,2113,204,150+,"There is an animal depicted on the wine label – it’s a stylized representation of a four-legged creature, most likely a dog. I am very certain of this observation, so on the scale from 0 to 1, I would rate my certainty as 1.",dog,dog,domestic dog,canine
143500437,Cabernet Sauvignon,2015,Barbour,United States,St. Helena,Red,4.5,4.1–4.5,70,209.99,150+,"The image displays a wine label with the representation of deer antlers, which symbolizes an animal. There are no humans depicted on the label. I am very certain about this observation, so on a scale of 0-1, my certainty is 1.",deer,deer,deer,deer
165711159,Brunello di Montalcino,2019,Salvioni,Italy,Brunello di Montalcino,Red,4.5,4.1–4.5,4620,219.99,150+,"There are no animals or humans visible on this wine label. It is a simple label with text and a small coat of arms-like emblem at the top. I am very certain about this assessment, so on a scale from 0 to 1, my certainty is 1.",none,lion crest,big cat,cat
159457099,ARTEMIS Cabernet Sauvignon,2019,Stag's Leap Wine Cellars,United States,Napa Valley,Red,4.5,4.1–4.5,6296,249.99,150+,"Yes, there is an animal depicted on the wine label—specifically, a stag. I am very certain about this; my certainty would be at a level of 1. There are no humans visible in this image.",stag,stag,deer,deer
163345444,Bonarda Clásica,2020,Colonia Las Liebres,Argentina,Mendoza,Red,3.7,3.6–4,1135,10.19,10–19.99,"There is a depiction of animals on the wine label, specifically two hares that appear to be running or jumping. I am very certain of this observation, so on a scale of 0-1, I would say my certainty is 1.",hares,rabbit,rabbit,rabbit
158520712,Todeschini Asteria Vineyard St. Emilion Grand Cru,2016,Fait Main,France,Saint-Émilion Grand Cru,Red,4.5,4.1–4.5,72,310,150+,"The label features a graphic that appears to be a lion, which is an animal. I am certain (1) that this is a graphical representation and not an actual photograph of an animal. There are no humans depicted on the label.",lion,lion crest,big cat,cat
3569801,Quarts de Chaume,1967,Domaine des Baumard,France,Quarts de Chaume,Dessert,4.5,4.1–4.5,68,311.99,150+,"On this wine label, there is an illustration that depicts a horse-drawn carriage with what appears to be a driver and possibly passengers. The figures are stylized and are part of the traditional imagery often found on such labels. Whether or not they are classified as 'animals' or 'humans' would depend on the specific criteria used, but it is clear that the illustration intends to represent humans and horses. My certainty level about this interpretation of the illustration on the wine label would be 1, meaning I am very certain.",horse,"human, horse","human, horse","human, horse"
150717672,Clos des Lambrays Grand Cru,2017,Domaine des Lambrays,France,Clos de Lambrays Grand Cru,Red,4.5,4.1–4.5,182,335.96,150+,"There are no animals or humans visible on this wine label; it primarily features text and some decorative elements such as a crest. My certainty level would be 1, as I can clearly see and analyze the content of the image.",none,wolf,wolf,canine
172979070,Cabernet Sauvignon,2022,Kadabra,Argentina,Mendoza,Red,3.3,3.1–3.5,936,14,10–19.99,"I do not see any real animals or humans on the wine label. From what is visible, the label features stylistic lettering and shapes, including what appears to be a top hat and playing cards suits (hearts and spades). There are no lifelike depictions of animals or people. I am very certain about this, giving a confidence level of 1.",none,rabbit,rabbit,rabbit
7562573,Louis XV Brut Champagne,2012,De Venoge,France,Champagne,Sparkling,4.5,4.1–4.5,114,410,150+,There are no animals or humans on this wine label. It is a label for de Venoge Champagne Louis XV. I am very certain (1) of this observation.,none,lion crest,big cat,cat
1150888,Pomerol,2006,Château La Fleur-Pétrus,France,Pomerol,Red,4.5,4.1–4.5,612,489.99,150+,"There are no animals or humans on the wine label in the image. It is a label that features text and a graphic design. I am very certain about this, so on a scale of 0-1, my certainty is 1.",none,lion crest,big cat,cat
156622800,Bionic Frog,2018,Cayuse Vineyards,United States,Walla Walla Valley,Red,4.5,4.1–4.5,837,610,150+,"The image on the wine label depicts an animated frog, which appears to be in a whimsical, bionic or mechanical style. There are no real animals or humans on the label, only the stylized representation of a frog. I am very certain about my assessment, so on a scale from 0 to 1, my certainty is 1.",frog,frog,frog,amphibian/reptile
158635186,Reserve Cabernet Sauvignon,2015,Sodhani,United States,St. Helena,Red,4.5,4.1–4.5,44,870,150+,There is an image of an elephant on the wine label. I am very certain about this; my certainty level is 1.,elephant,elephant,elephant,pachyderm
170064637,Callipyge Graves Blanc,2021,Château de Respide,France,Graves,White,4.4,4.1–4.5,65,26.99,20–29.99,"I do not see any animals or humans depicted on this wine label. The label features text, decorative elements such as a chateau illustration, and some smaller designs that may represent elements like leaves or vines, which are common motifs for wine labels. My certainty is 1, as I can clearly observe and asses the content of the image provided.",none,birds,songbird,bird
1401015,Sauternes (Premier Grand Cru Classé),2009,Château Guiraud,France,Sauternes,Dessert,4.4,4.1–4.5,1803,38.99,30–39.99,"Yes, there is an animal on the wine label – it depicts a lion. I am certain of this observation (1 on your scale). There are no humans on the label.",lion,lion crest,big cat,cat
168840147,Rincón de los Vientos Cabernet Sauvignon,2019,Toro de Piedra,Chile,Curico Valley,Red,4.4,4.1–4.5,233,44.99,40–49.99,"The image displays an illustration of a bull on the wine label, which is an animal. I am very certain of this observation, so on a scale of 0-1, my certainty is 1.",bull,bull,bull,cattle
156198573,Neal Vineyard Cabernet Sauvignon,2017,Sbragia,United States,Howell Mountain,Red,4.4,4.1–4.5,97,49.99,40–49.99,The label features an emblem that contains a depiction of a lion. I am very certain about this—the certainty level is 1. There are no human figures on this wine label.,lion,lion crest,big cat,cat
