id,name,year,winery,animalBrand,country,region,type,rating,numRatings,price,priceCurrency,imageUrl,gptDescription,gptAnimal,gptCertainty
175378162,Leukò Bianco,2022,'A Vita,NO,Italy,Calabria,White,3.9,465,25.50,USD,images.vivino.com/thumbs/V7EeYkyQQ4OwoyMwlAGR0w_pl_480x640.png,,,
170411781,Rosato,2021,'A Vita,NO,Italy,Calabria,Rose,3.8,564,25.50,USD,images.vivino.com/thumbs/5jopgs2HReWp5-caHENwhw_pl_480x640.png,,,
175807896,VGR,2021,00 Wines,NO,United States,Willamette Valley,Red,4.2,221,99.94,USD,images.vivino.com/thumbs/VUI8aUHXSTq1RLuHgNmsow_pl_480x640.png,,,
175746849,VGW,2021,00 Wines,NO,United States,Willamette Valley,White,4.3,471,78.99,USD,images.vivino.com/thumbs/3Tf8VZiTT92Hk_sz2_ainw_pl_480x640.png,,,
167877836,Chardonnay,2021,1000 Stories,YES,United States,California,White,3.8,472,21.99,USD,images.vivino.com/thumbs/VvCZI1xJSEy6ZMEhGxnclQ_pl_480x640.png,,,
168886134,Cabernet Sauvignon,2019,10000 Hours,YES,United States,Red Mountain,Red,4.2,160,35.95,USD,images.vivino.com/thumbs/zeDbnqXMS0qAWOVGM_QkXg_pl_480x640.png,,,
166284397,Opulent Red,2020,12 Knights,NO,Portugal,Lisboa,Red,4.0,99,16.99,USD,images.vivino.com/thumbs/xsFaOSBQQYS1CmkQmtszbQ_pl_480x640.png,,,
173511804,Pinot Grigio,2022,13 Celsius,NO,Italy,delle Venezie,White,3.7,425,12.99,USD,images.vivino.com/thumbs/STn7nU7QTcmnmVPLFj6OXQ_pl_480x640.png,,,
161285425,Sauvignon Blanc,2018,14 Hands,YES,United States,Columbia Valley,White,3.8,46,15.99,USD,images.vivino.com/thumbs/3MgeSjo4R3S0nvMXNsTJzQ_pl_480x640.png,"This image shows a wine label from '14 Hands Winery,' featuring artwork of two horses. On the certainty scale, I am 1 or 'very certain,' that there are animals depicted on this label.",horses,1
171025860,Rosé,2022,14 Hands,YES,United States,Columbia Valley,Rose,3.5,435,11.99,USD,images.vivino.com/thumbs/n3exQ_VySWKHxBiXkjbC4A_pl_480x640.png,,,
172747852,Bourbon Barrel Aged Cabernet Sauvignon,2019,1797,NO,United States,Paso Robles,Red,4.2,43,20.67,USD,images.vivino.com/labels/pl-3BY2gRTygeCo2PUKK7w.jpg,,,
163978598,Napa Valley Cabernet Sauvignon,2019,1881 Napa,?,United States,Napa Valley,Red,4.3,429,37.94,USD,images.vivino.com/thumbs/WCGJs6DTTyKb54SOgVXH5A_pl_480x640.png,"I do not see any animals or humans on the wine label. The label primarily features text and some design elements that give it a textured look. I am very certain of this assessment, so on a scale from 0 to 1, I would rate my certainty as 1.",none,1
4867744,Red Blend,,19 Crimes,NO,Australia,Victoria,Red,4.0,100020,9.99,USD,images.vivino.com/thumbs/fPEOzrKHRVe8mbBu4Drgmg_pl_480x640.png,,,
167035267,Hard Chard,2021,19 Crimes,NO,Australia,South Eastern Australia,White,3.8,1188,10.99,USD,images.vivino.com/thumbs/brisGboHTv2kFBzGcx7Nmg_pl_480x640.png,,,
167527336,Snoop Cali Rosé,2020,19 Crimes,NO,United States,California,Rose,3.3,1689,13.99,USD,images.vivino.com/thumbs/91SjjJglT0u6mlkEdqslnA_pl_480x640.png,,,
170555619,Double Black Bourbon Barrel Aged Cabernet Sauvignon (Limited Edition),2022,1924 Wines,NO,United States,Lodi,Red,4.2,110,15.72,USD,images.vivino.com/thumbs/XQBtd9zbQl6OMWSfHcx4Bg_pl_480x640.png,,,
172373540,Fledermaus Red,2021,2Naturkinder,YES,Germany,Franken,Red,3.9,456,24.99,USD,images.vivino.com/thumbs/iAoLb772RHqerY2PlnX48g_pl_480x640.png,,,
171094477,Fledermaus White,2021,2Naturkinder,YES,Germany,Franken,White,3.9,27,24.99,USD,images.vivino.com/thumbs/PFOX3RLITr2jYfDjQ19_wA_pl_480x640.png,,,
172059821,Silvaner Pet-Nat,2021,2Naturkinder,YES,Germany,Franken,Sparkling,3.8,402,24.99,USD,images.vivino.com/thumbs/EEXC3vrsQqWPB5r8nQt_iA_pl_480x640.png,,,
160148291,Shiraz (It's Magic),2019,3 Rings,NO,Australia,Barossa Valley,Red,3.9,84,16.99,USD,images.vivino.com/thumbs/Py_qtYnMSoOyGFsdM7DCdQ_pl_480x640.png,The image on the wine label depicts a human figure who appears to be a magician or a performer holding up what look like two transparent spheres or wine glasses. There don't appear to be any animals depicted on the label. I am very certain (1) that the image includes a representation of a human.,human,1
161973890,Chardonnay,2019,30 Degrees,NO,United States,Santa Barbara County,White,3.9,146,14.99,USD,images.vivino.com/labels/WPvDo-VcQtGqEKmjNp4_-g.jpg,,,
168913141,Malbec,2020,4 Gatos Locos,YES,Argentina,Gualtallary,Red,4.0,223,32.99,USD,images.vivino.com/thumbs/CTX4N6zrSFW4bACNOR12jQ_pl_480x640.png,,,
168339764,Motor América Tinto,2021,4 Kilos Vinícola,NO,Spain,Mallorca,Red,3.8,565,32.99,USD,images.vivino.com/thumbs/lIVy0kGxSX-_r6Y-HC_AJg_pl_480x640.png,,,
171157735,Motor Blanco,2021,4 Kilos Vinícola,NO,Spain,Mallorca,White,3.7,110,28.00,USD,images.vivino.com/thumbs/466vhSgrTP6rAVYH4tMY9g_pl_480x640.png,,,
163493734,Inferno Vermouth di Torino Superiore,,9 di Dante,NO,Italy,Piemonte,Fortified,4.3,45,36.99,USD,images.vivino.com/thumbs/2pF8wcjJRPq4a3opXvknGQ_pl_480x640.png,"The image displays a label on a bottle of what appears to be vermouth, specifically labeled '9 di DANTE INFERNO'. The label shows a graphic design that consists of concentric circles with patterned detailing, resembling a stylized radial pattern but not depicting any recognizable animals or humans. I am very certain that there are no animals or humans on this label; my certainty level is 1.",none,1
170658033,Lot 23 Old Vine Malbec,2022,90+ Cellars,NO,Argentina,Mendoza,Red,3.7,3247,10.99,USD,images.vivino.com/thumbs/WSbBwS-_SnWJSJ-Oen35vw_pl_480x640.png,,,
174316455,Lot 66 Riesling,2022,90+ Cellars,NO,Germany,Mosel,White,3.8,692,10.99,USD,images.vivino.com/thumbs/GcksYMasRXGaNMFactCqHg_pl_480x640.png,,,
1657416,Lot 50 Prosecco,,90+ Cellars,NO,Italy,Prosecco,Sparkling,3.6,1123,9.99,USD,images.vivino.com/thumbs/ELCRa1lkSPir1NHDhXHAWw_pl_480x640.png,"There are no animals or humans visible on the wine label in the image. I am very certain of this assessment, so on a scale of 0-1, my certainty would be 1.",none,1
172022237,Lot 33 Rosé,2022,90+ Cellars,NO,France,Languedoc,Rose,3.8,50,8.99,USD,images.vivino.com/thumbs/9AqhHRjpTB-e2xYtlEAz2g_pl_480x640.png,,,
172282201,Vosne-Romanée,2021,A & Arlaud,NO,France,Vosne-Romanée,Red,4.2,282,167.87,USD,images.vivino.com/thumbs/Lp98q9MHTeWwMEKK0a3S7Q_pl_480x640.png,,,
171888321,Godello,2022,A Coroa,NO,Spain,Valdeorras,White,4.0,311,24.99,USD,images.vivino.com/thumbs/ytGxkhjgRtiw941KyhMfOw_pl_480x640.png,,,
171311998,Volcánico,2022,A Los Viñateros Bravos,NO,Chile,Itata Valley,Red,3.8,1184,22.99,USD,images.vivino.com/thumbs/Uxo5SrAHQg2zMunELJjo0w_pl_480x640.png,,,
174266494,Granitico Blanco,2022,A Los Viñateros Bravos,NO,Chile,Itata Valley,White,3.7,364,22.99,USD,images.vivino.com/thumbs/_0yNFXvvSfmG9UJ_jPFEBw_pl_480x640.png,,,
7326524,Le Brut Champagne,,A Margaine,NO,France,Champagne Premier Cru,Sparkling,4.0,938,64.99,USD,images.vivino.com/thumbs/wy0MGPW3Qfe9ayvLxSUoaQ_pl_480x640.png,,,
167137320,Pinot Gris,2021,A to Z Wineworks,NO,United States,Oregon,White,3.8,446,25.58,USD,images.vivino.com/thumbs/bambCvCxQ7q792WrtzItcQ_pl_480x640.png,,,
154472063,Bubbles Rosé,,A to Z Wineworks,NO,United States,Oregon,Sparkling,3.8,629,19.99,USD,images.vivino.com/thumbs/Nnvld5lkTb2hMTutwokTFw_pl_480x640.png,"I do not see any animals or humans on this wine label. The label contains text and some bubble design elements, but no identifiable animals or humans. My certainty is 1, as I am very certain based on the image provided.",none,1
171098472,Rosé,2022,A to Z Wineworks,NO,United States,Oregon,Rose,3.6,1441,19.99,USD,images.vivino.com/thumbs/W5rX0U72RqS-XTr5_b5K3w_pl_480x640.png,,,
172379806,Besson Vineyard Grenache,2021,A Tribute to Grace,NO,United States,Santa Clara County,Red,4.3,245,64.22,USD,images.vivino.com/thumbs/3BmrsaKWRTG1wIaYqof1_g_pl_480x640.png,,,
174250966,Santa Barbara Highlands Vineyard Rosé of Grenache,2022,A Tribute to Grace,NO,United States,Santa Barbara County,Rose,4.1,30,33.99,USD,images.vivino.com/thumbs/GneOz8q4QGenHEUMFFZHcw_pl_480x640.png,,,
157431477,Spätburgunder,2017,A. Christmann,NO,Germany,Pfalz,Red,3.8,111,34.00,USD,images.vivino.com/thumbs/EXlg1xelRbeULVYwdODhOQ_pl_480x640.png,,,
163399448,Riesling,2020,A. Christmann,NO,Germany,Pfalz,White,3.7,327,26.08,USD,images.vivino.com/thumbs/rD7xVVr2Trq0aoEtihor7A_pl_480x640.png,"I see no animals or humans on the wine label. I am very certain about this observation, so on a scale of 0 to 1, I would rate my certainty as 1.",none,1
171152980,Hofberg Kabinett Riesling,2022,A. J. Adam,NO,Germany,Dhron,White,4.0,1245,31.17,USD,images.vivino.com/thumbs/vAALVoiRTvuhO_0m5zUKgA_pl_480x640.png,,,
168857845,Origine Brut Champagne,,A.Bergère,NO,France,Champagne,Sparkling,3.9,763,61.56,USD,images.vivino.com/thumbs/eP-NhLKaT2yT6qH_Vh3HJA_pl_480x640.png,,,
